detectportal.firefox.com,184.25.204.73
umich.edu,141.211.243.251
morse.colorado.edu,128.138.184.74
www.umich.edu,141.211.243.251
i240.photobucket.com,8.253.148.117
i240.photobucket.com,8.253.148.117
i240.photobucket.com,8.248.75.252
i240.photobucket.com,8.248.75.252
counter.www.umich.edu,141.211.13.231
www.cplusplus.com,167.114.170.15
grad.berkeley.edu,104.196.198.245
fonts.googleapis.com,172.217.11.234
use.typekit.net,104.86.99.125
ajax.googleapis.com,172.217.11.234
www.caida.org,192.172.226.123
secure-web.cisco.com,208.90.58.178
www.shpa.com,50.63.124.1
ciscobinary.openh264.org,23.215.104.217
listverse.com,104.20.9.119
listverse.wpengine.netdna-cdn.com,108.161.188.224
d1d5tnir59wim7.cloudfront.net,13.33.251.209
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.disqus.com,151.101.48.134
cdn.iubenda.com,104.76.175.241
ngn.cs.colorado.edu,128.138.201.100
moodle.cs.colorado.edu,104.198.7.143
www.cnn.com,151.101.181.67
www.i.cdn.cnn.com,151.101.181.67
www.i.cdn.cnn.com,151.101.181.67
cdn.cnn.com,23.216.84.94
www.i.cdn.cnn.com,151.101.181.67
www.i.cdn.cnn.com,151.101.181.67
spoofer.caida.org,192.172.226.159
