detectportal.firefox.com,23.215.104.177
www.cnn.com,151.101.41.67
www.i.cdn.cnn.com,151.101.41.67
cdn.optimizely.com,23.202.232.124
native.sharethrough.com,13.33.252.89
morse.colorado.edu,128.138.184.74
i240.photobucket.com,8.254.194.236
bat.bing.com,13.107.21.200
tag.bounceexchange.com,13.33.253.44
cdn.livefyre.com,13.33.253.209
cdn.gigya.com,23.215.104.81
data.cnn.com,23.75.11.135
ads.rubiconproject.com,23.59.207.20
c.amazon-adsystem.com,13.33.253.192
static.criteo.net,74.119.119.70
cdn.krxd.net,151.101.40.175
amplify.outbrain.com,23.202.234.118
www.googletagservices.com,216.58.194.162
widgets.outbrain.com,23.202.234.118
ad.doubleclick.net,172.217.6.38
listverse.com,104.20.8.119
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
listverse.wpengine.netdna-cdn.com,108.161.188.224
d1d5tnir59wim7.cloudfront.net,13.33.251.158
s240.photobucket.com,209.17.68.29
hpr.outbrain.com,151.101.42.2
0914.global.ssl.fastly.net,151.101.48.249
www.summerhamster.com,52.27.8.169
www.umich.edu,141.211.243.251
counter.www.umich.edu,141.211.13.231
listverse.disqus.com,151.101.48.134
adserver-us.adtech.advertising.com,152.195.32.112
adserver-us.adtech.advertising.com,152.195.32.112
adserver-us.adtech.advertising.com,152.195.32.112
adserver-us.adtech.advertising.com,152.195.32.112
fastlane.rubiconproject.com,8.39.36.144
fastlane.rubiconproject.com,8.39.36.144
fastlane.rubiconproject.com,8.39.36.145
fastlane.rubiconproject.com,8.39.36.144
fastlane.rubiconproject.com,8.39.36.144
fastlane.rubiconproject.com,8.39.36.145
listverse-d.openx.net,173.241.242.220
ib.adnxs.com,104.254.150.79
ib.adnxs.com,104.254.150.59
ib.adnxs.com,104.254.150.79
ib.adnxs.com,104.254.150.37
ib.adnxs.com,104.254.150.11
ib.adnxs.com,104.254.150.58
as.casalemedia.com,184.25.204.10
cdn.taboola.com,151.101.50.2
edge.quantserve.com,70.42.104.42
ib.adnxs.com,104.254.150.58
ib.adnxs.com,104.254.150.59
ib.adnxs.com,104.254.150.13
b.scorecardresearch.com,184.25.204.113
acdn.adnxs.com,151.101.49.108
aax.amazon-adsystem.com,52.94.208.70
www.cplusplus.com,167.114.170.15
www.ugdturner.com,157.166.238.142
ssl.cdn.turner.com,104.86.96.239
ssl.cdn.turner.com,104.86.96.239
cdn3.optimizely.com,104.86.98.91
www.watchfilmy.com,104.24.102.248
g-ec2.images-amazon.com,184.25.204.59
ciscobinary.openh264.org,23.215.104.176
cpluplus.com,199.191.50.73
secure-web.cisco.com,208.90.58.178
grad.berkeley.edu,104.196.198.245
fonts.googleapis.com,172.217.11.234
use.typekit.net,104.86.99.125
ajax.googleapis.com,172.217.2.10
www.shpa.com,50.63.124.1
fonts.gstatic.com,172.217.12.3
10.0.0.1,10.0.0.1
